description,category
legal drafting consultancy,professional
warehouse rent for storage,rent
consulting service payment,professional
interest income from investment,interest
interest income from loan,interest
maintenance contractor charges,contractor
commercial property rent,rent
audit professional charges,professional
interest income from loan,interest
plumbing contractor charges,contractor
legal consultancy services,professional
financial advisory professional fees,professional
warehouse rent for storage,rent
chartered accountant fees,professional
monthly building rent,rent
interest from savings account,interest
deposit interest payment,interest
factory building rent,rent
warehouse rent for storage,rent
interest from savings account,interest
maintenance contractor charges,contractor
commercial property rent,rent
interest income from loan,interest
building repair contractor payment,contractor
shop rent payment,rent
interest from fixed deposit,interest
bank interest received,interest
apartment rent for staff housing,rent
construction contractor payment,contractor
legal consultancy services,professional
interest from savings account,interest
office rent payment,rent
interest from savings account,interest
management consulting services,professional
tax advisory fees,professional
bank interest received,interest
audit professional charges,professional
civil contractor work payment,contractor
maintenance contractor charges,contractor
factory building rent,rent
financial advisory professional fees,professional
interest income from investment,interest
legal consultancy services,professional
legal drafting consultancy,professional
legal consultancy services,professional
interest income from loan,interest
commercial property rent,rent
commercial property rent,rent
civil contractor work payment,contractor
deposit interest payment,interest
management consulting services,professional
audit professional charges,professional
audit professional charges,professional
office rent payment,rent
factory building rent,rent
interest income from loan,interest
legal consultancy services,professional
bank interest received,interest
interest payment on deposit,interest
contract labour charges,contractor
maintenance contractor charges,contractor
interest earned from bank account,interest
office rent payment,rent
bank interest received,interest
office rent payment,rent
financial advisory professional fees,professional
shop rent payment,rent
bank interest received,interest
management consulting services,professional
contract labour charges,contractor
interest earned from bank account,interest
interest payment on deposit,interest
consulting service payment,professional
building repair contractor payment,contractor
shop rent payment,rent
financial advisory professional fees,professional
bank interest received,interest
deposit interest payment,interest
management consulting services,professional
interest income from loan,interest
legal consultancy services,professional
civil contractor work payment,contractor
financial advisory professional fees,professional
warehouse rent for storage,rent
financial advisory professional fees,professional
interest from savings account,interest
interest from savings account,interest
apartment rent for staff housing,rent
shop rent payment,rent
plumbing contractor charges,contractor
apartment rent for staff housing,rent
office space lease payment,rent
interest from savings account,interest
maintenance contractor charges,contractor
construction contractor payment,contractor
office space lease payment,rent
office space lease payment,rent
monthly building rent,rent
office rent payment,rent
maintenance contractor charges,contractor
financial advisory professional fees,professional
warehouse rent for storage,rent
contract labour charges,contractor
office rent payment,rent
interest income from loan,interest
consulting service payment,professional
interest from fixed deposit,interest
interest from savings account,interest
interest from savings account,interest
building repair contractor payment,contractor
interest from fixed deposit,interest
building repair contractor payment,contractor
interest earned from bank account,interest
apartment rent for staff housing,rent
civil contractor work payment,contractor
building repair contractor payment,contractor
interest from savings account,interest
financial advisory professional fees,professional
audit professional charges,professional
commercial property rent,rent
electrical contractor services,contractor
bank interest received,interest
management consulting services,professional
office space lease payment,rent
interest payment on deposit,interest
office space lease payment,rent
bank interest received,interest
tax advisory fees,professional
shop rent payment,rent
interest income from investment,interest
financial advisory professional fees,professional
interest payment on deposit,interest
interest income from investment,interest
office space lease payment,rent
interest income from loan,interest
interest from savings account,interest
building repair contractor payment,contractor
financial advisory professional fees,professional
plumbing contractor charges,contractor
electrical contractor services,contractor
interest from fixed deposit,interest
interest from fixed deposit,interest
consulting service payment,professional
maintenance contractor charges,contractor
plumbing contractor charges,contractor
chartered accountant fees,professional
bank interest received,interest
maintenance contractor charges,contractor
building repair contractor payment,contractor
interest from fixed deposit,interest
shop rent payment,rent
audit professional charges,professional
legal consultancy services,professional
office rent payment,rent
deposit interest payment,interest
contract labour charges,contractor
management consulting services,professional
office rent payment,rent
monthly building rent,rent
building repair contractor payment,contractor
electrical contractor services,contractor
interest income from loan,interest
interest earned from bank account,interest
building repair contractor payment,contractor
road construction contractor,contractor
shop rent payment,rent
construction contractor payment,contractor
commercial property rent,rent
contract labour charges,contractor
consulting service payment,professional
warehouse rent for storage,rent
plumbing contractor charges,contractor
interest from fixed deposit,interest
warehouse rent for storage,rent
interest income from loan,interest
civil contractor work payment,contractor
commercial property rent,rent
shop rent payment,rent
apartment rent for staff housing,rent
management consulting services,professional
consulting service payment,professional
legal consultancy services,professional
interest from savings account,interest
civil contractor work payment,contractor
electrical contractor services,contractor
interest earned from bank account,interest
bank interest received,interest
interest earned from bank account,interest
legal consultancy services,professional
factory building rent,rent
management consulting services,professional
construction contractor payment,contractor
apartment rent for staff housing,rent
civil contractor work payment,contractor
deposit interest payment,interest
contract labour charges,contractor
legal drafting consultancy,professional
financial advisory professional fees,professional
tax advisory fees,professional
factory building rent,rent
deposit interest payment,interest
consulting service payment,professional
plumbing contractor charges,contractor
apartment rent for staff housing,rent
maintenance contractor charges,contractor
deposit interest payment,interest
consulting service payment,professional
chartered accountant fees,professional
commercial property rent,rent
interest income from investment,interest
interest income from loan,interest
tax advisory fees,professional
deposit interest payment,interest
road construction contractor,contractor
interest income from investment,interest
interest from savings account,interest
contract labour charges,contractor
interest earned from bank account,interest
tax advisory fees,professional
legal consultancy services,professional
interest payment on deposit,interest
monthly building rent,rent
interest from fixed deposit,interest
audit professional charges,professional
consulting service payment,professional
interest income from investment,interest
interest earned from bank account,interest
contract labour charges,contractor
interest income from investment,interest
bank interest received,interest
shop rent payment,rent
