Payment_Type,Amount,Vendor_Type,PAN_Available,TDS_Section,TDS_Rate,TDS_Amount
Salary,270106,Employee,No,192,20,54021.2
Salary,413471,Employee,No,192,20,82694.2
Rent,85064,Individual,No,194I,20,17012.8
Rent,299100,Individual,No,194I,20,59820.0
Interest,361151,Individual,Yes,194A,10,36115.1
Rent,198278,Individual,Yes,194I,10,19827.8
Salary,46525,Employee,No,192,20,9305.0
Rent,390257,Individual,No,194I,20,78051.4
Interest,442544,Company,No,194A,20,88508.8
Contractor,167349,Individual,No,194C,20,33469.8
Contractor,33347,Individual,No,194C,20,6669.4
Salary,39589,Employee,No,192,20,7917.8
Rent,237290,Individual,Yes,194I,10,23729.0
Salary,207085,Employee,No,192,20,41417.0
Interest,239269,Individual,No,194A,20,47853.8
Interest,281345,Individual,No,194A,20,56269.0
Professional,81269,Individual,No,194J,20,16253.8
Interest,496928,Individual,No,194A,20,99385.6
Interest,53085,Individual,Yes,194A,10,5308.5
Contractor,220564,Individual,Yes,194C,1,2205.64
Contractor,359311,Individual,Yes,194C,2,7186.22
Rent,353098,Company,Yes,194I,10,35309.8
Professional,261236,Company,Yes,194J,10,26123.6
Salary,379137,Employee,Yes,192,20,75827.4
Salary,46951,Employee,No,192,20,9390.2
Contractor,323665,Company,Yes,194C,2,6473.3
Rent,48539,Individual,Yes,194I,10,4853.9
Interest,76896,Company,No,194A,20,15379.2
Professional,180797,Company,Yes,194J,10,18079.7
Rent,76698,Individual,Yes,194I,10,7669.8
Professional,274397,Individual,Yes,194J,10,27439.7
Professional,96084,Individual,No,194J,20,19216.8
Rent,228953,Company,Yes,194I,10,22895.3
Contractor,265072,Individual,Yes,194C,2,5301.44
Professional,28251,Individual,Yes,194J,10,2825.1
Rent,167776,Company,Yes,194I,10,16777.6
Contractor,387330,Company,No,194C,20,77466.0
Salary,360333,Employee,Yes,192,10,36033.3
Rent,173087,Company,No,194I,20,34617.4
Professional,337456,Company,No,194J,20,67491.2
Rent,336156,Individual,No,194I,20,67231.2
Interest,46787,Company,Yes,194A,10,4678.7
Salary,282451,Employee,No,192,20,56490.2
